,0
2016-04-01 00:00:00+00:00,0.0496765568515225
2016-04-01 01:00:00+00:00,0.0266765568515121
2016-04-01 02:00:00+00:00,0.0206765568515089
2016-04-01 03:00:00+00:00,0.0676765568515107
2016-04-01 04:00:00+00:00,0.1276765568515095
2016-04-01 05:00:00+00:00,0.3765098901848361
2016-04-01 06:00:00+00:00,0.3555098901848392
2016-04-01 07:00:00+00:00,0.2690098901848504
2016-04-01 08:00:00+00:00,0.0896765568515181
2016-04-01 09:00:00+00:00,0.0406765568515275
2016-04-01 10:00:00+00:00,0.1146765568514936
2016-04-01 11:00:00+00:00,0.1146765568515273
2016-04-01 12:00:00+00:00,0.1786765568515172
2016-04-01 13:00:00+00:00,0.2336765568514916
2016-04-01 14:00:00+00:00,0.3016765568515197
2016-04-01 15:00:00+00:00,0.1016765568514999
2016-04-01 16:00:00+00:00,0.1866765568515181
2016-04-01 17:00:00+00:00,0.0846765568515084
2016-04-01 18:00:00+00:00,0.0336765568515127
2016-04-01 19:00:00+00:00,0.0636765568515094
2016-04-01 20:00:00+00:00,0.0646765568515067
2016-04-01 21:00:00+00:00,0.0846765568515111
2016-04-01 22:00:00+00:00,0.0476765568515134
2016-04-01 23:00:00+00:00,0.0466765568515091
2016-04-02 00:00:00+00:00,0.0816765568515109
2016-04-02 01:00:00+00:00,0.0226765568515109
2016-04-02 02:00:00+00:00,0.0296765568515127
2016-04-02 03:00:00+00:00,0.0216765568515132
2016-04-02 04:00:00+00:00,0.1536765568515093
2016-04-02 05:00:00+00:00,0.4276765568515079
2016-04-02 06:00:00+00:00,0.1356765568515122
2016-04-02 07:00:00+00:00,0.1926765568515112
2016-04-02 08:00:00+00:00,0.2266765568515119
2016-04-02 09:00:00+00:00,0.1146765568515011
2016-04-02 10:00:00+00:00,0.0706765568515131
2016-04-02 11:00:00+00:00,0.044676556851511
2016-04-02 12:00:00+00:00,0.0436765568515121
2016-04-02 13:00:00+00:00,0.0626765568515126
2016-04-02 14:00:00+00:00,0.1386765568515136
2016-04-02 15:00:00+00:00,0.0816765568515083
2016-04-02 16:00:00+00:00,0.1086765568515085
2016-04-02 17:00:00+00:00,0.1516765568515105
2016-04-02 18:00:00+00:00,0.1276765568515099
2016-04-02 19:00:00+00:00,0.0596765568515099
2016-04-02 20:00:00+00:00,0.0786765568515126
2016-04-02 21:00:00+00:00,0.0426765568515113
2016-04-02 22:00:00+00:00,0.1016765568515128
2016-04-02 23:00:00+00:00,0.0336765568515083
2016-04-03 00:00:00+00:00,0.0176765568515123
2016-04-03 01:00:00+00:00,0.0166765568515105
2016-04-03 02:00:00+00:00,0.0166765568515107
2016-04-03 03:00:00+00:00,0.0206765568515084
2016-04-03 04:00:00+00:00,0.016676556851511
2016-04-03 05:00:00+00:00,0.0996765568515112
